DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2023-0002-PHL,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,PHL,Philippines,South-eastern Asia,Asia,"Lanao del Norte Province (Northern Mindanao Region); Davao de Oro and Davao del Norte provinces; Maguindanao (BARMM Region); Mimaropa Region; Cagayan Valley, Central Luzon, Calabarzon, Bicol, Western Visayas, Eastern Visayas, Zamboanga Peninsula, Soccsksargen, Caraga",Heavy rains,"Slide (land, mud, snow, rock)|Storm",No,No,No,,,Km2,,,,2023,1,1,2023,1,29,52,11,2143347,,2143358,,,,,30371,30371,100,,2023-01-05,2024-03-05
2023-0006-IDN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,IDN,Indonesia,South-eastern Asia,Asia,Southwest Maluku and Tanimbar Islands Regencies (Maluku Province),,,No,No,No,,7.6,Moment Magnitude,-7.065,130.005,,2023,1,10,2023,1,10,1,11,4350,60,4421,,,,,,,100,"[{""adm1_code"":73615,""adm1_name"":""Maluku""}]",2023-01-18,2023-09-26
2023-0007-COL,No,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,COL,Colombia,Latin America and the Caribbean,Americas,"Rosas, Cauca municipality",Heavy rains,,No,No,No,,,,,,,2023,1,10,2023,1,10,,,700,,700,,,,,,,100,"[{""adm2_code"":13748,""adm2_name"":""Rosas""}]",2023-01-18,2023-09-26
2023-0012-IRN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,GLIDE:EQ-2023-000007,,IRN,Iran (Islamic Republic of),Southern Asia,Asia,"Khoy, Firoraq (Azerbaïdjan province)",,,No,No,No,,5.7,Moment Magnitude,38.44,44.946,,2023,1,18,2023,1,18,,252,41426,,41678,,,,,50000,50000,100,,2023-01-19,2023-09-26
2023-0019-AFG,No,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,,,AFG,Afghanistan,Southern Asia,Asia,"Ghor, Baghlan, Sar-e-Pul, Faryab, Takhar, Kandahar, Nimroz and Badghis",,Intoxication,No,No,No,,-33,°C,,,,2023,1,9,2023,1,23,166,,,,,,,,,,,100,"[{""adm1_code"":273,""adm1_name"":""Badghis""},{""adm1_code"":274,""adm1_name"":""Baghlan""},{""adm1_code"":278,""adm1_name"":""Faryab""},{""adm1_code"":280,""adm1_name"":""Ghor""},{""adm1_code"":285,""adm1_name"":""Kandahar""},{""adm1_code"":293,""adm1_name"":""Nimroz""},{""adm1_code"":299,""adm1_name"":""Sar-e-Pul""},{""adm1_code"":300,""adm1_name"":""Takhar""}]",2023-01-23,2024-02-27
2023-0020-MDG,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Tropical cyclone 'Cheneso',MDG,Madagascar,Sub-Saharan Africa,Africa,Antalaha (Sava Region); Diana regon,,"Flood|Slide (land, mud, snow, rock)",No,No,No,,106,Kph,,,,2023,1,19,2023,1,23,53,,90870,,90870,,,,,20000,20000,100,"[{""adm1_code"":41762,""adm1_name"":""Diana""},{""adm2_code"":154596,""adm2_name"":""Antalaha""}]",2023-01-23,2023-09-26
2023-0021-CHN,No,nat-hyd-mmw-ava,Natural,Hydrological,Mass movement (wet),Avalanche (wet),,,CHN,China,Eastern Asia,Asia,"Nyingchi City (Nyingchi County, Autonomous Region of Tibet)",,,No,No,No,,,,,,,2023,1,17,2023,1,17,28,5,53,,58,,,,,,,100,,2023-01-23,2023-09-26
2023-0022-SRB,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,SRB,Serbia,Southern Europe,Europe,"Sjenica and Brodarevo Novi Pazar Municipality; Novi Pazar Municipality (Sumadija and Western Serbia Region, south-western Serbia)",Heavy rainfall and river overflow,,No,No,No,,,Km2,,,Trnavica River,2023,1,18,2023,1,20,2,,210,,210,,,,,,,100,,2023-01-23,2023-09-26
2023-0023-COL,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,COL,Colombia,Latin America and the Caribbean,Americas,"Los Conquistadores, Medellín city (Antioquia Department); ",Heavy rains and strong winds,Storm,No,No,No,,,Km2,,,,2023,1,14,2023,1,14,2,23,15,,38,,,,,,,100,"[{""adm2_code"":13408,""adm2_name"":""Medellin""}]",2023-01-23,2024-06-26
2023-0028-BRA,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,BRA,Brazil,Latin America and the Caribbean,Americas,Rodeio Municipality (Santa Caterina State),,"Slide (land, mud, snow, rock)|Storm",No,No,No,,,Km2,,,,2023,1,17,2023,1,18,5,,180,,180,,,,,10000,10000,100,"[{""adm2_code"":10907,""adm2_name"":""Rodeio""}]",2023-01-23,2023-09-26
